,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,school_GP,school_MS,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,11,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,15,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
4,0,16,1,0,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5,1,16,1,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
6,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
7,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,13,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8,1,15,1,1,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,17,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
9,1,15,1,0,1,3,4,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10,0,15,1,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
11,0,15,1,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
12,1,15,1,1,1,4,4,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
13,1,15,1,0,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,13,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
14,1,15,1,0,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,15,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
16,0,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
17,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
18,1,17,1,0,1,3,2,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
19,1,16,1,1,1,4,3,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20,1,15,1,0,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,14,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
